종류,년도,매체사,제작/설치,기타,10억원 미만,10억원 이상~50억원 미만,50억원 이상,서울,6대 광역시,도지역
건물부착 광고물,2016,"104,102","1,128,580","12,169","593,098","473,064","178,689","269,295","348,782","626,775"
교통시설 이용 광고물,2016,"195,469","107,280","33,252","141,049","120,463","74,489","176,200","90,479","69,322"
교통수단 이용 광고물,2016,"213,673","49,069","10,822","36,344","93,272","143,948","91,882","111,139","70,543"
공공시설물 이용 광고물,2016,"42,764","66,074","6,090","66,717","36,970","11,242","12,764","30,118","72,047"
지면 설치 광고물,2016,"40,966","103,078","4,500","54,718","77,545","16,280","24,770","18,541","105,232"
공공장소 광고물,2016,"1,402","77,090","1,609","24,343","41,273","14,486","26,671","7,087","46,343"
여가시설 광고물,2016,"334,022","67,700","18,283","65,709","51,888","302,408","112,885","232,287","74,832"
쇼핑시설 광고물,2016,"24,647","49,661","28,801","52,080","35,943","15,086","53,265","13,498","36,346"
유동 광고물,2016,"4,296","165,320","5,159","81,956","63,777","29,042","20,307","36,218","118,250"
실사출력,2016,"7,912","301,428","6,508","120,951","99,230","95,666","33,176","93,387","189,284"
건물부착 광고물,2017,"105,929","1,125,782","34,953","652,378","460,678","153,608","266,200","306,118","694,346"
교통시설 이용 광고물,2017,"221,880","143,145",-,"74,372","91,483","199,170","201,162","76,770","87,093"
교통수단 이용 광고물,2017,"210,382","68,783","3,464","35,985","109,858","136,786","82,749","54,474","145,406"
공공시설물 이용 광고물,2017,"54,448","59,666","7,802","60,749","15,827","45,340","57,279","24,401","40,236"
지면 설치 광고물,2017,"40,647","109,845","6,574","73,681","65,092","18,293","48,351","21,672","87,043"
공공장소 광고물,2017,"5,086","95,892","11,633","62,260","35,835","14,516","35,487","19,642","57,482"
여가시설 광고물,2017,"301,475","136,754","25,778","91,576","69,435","302,996","92,493","69,398","302,116"
쇼핑시설 광고물,2017,"30,773","86,097",445,"31,319","40,010","45,986","44,958","31,439","40,918"
유동 광고물,2017,"5,281","192,278","9,461","135,414","70,494","1,112","19,882","58,263","128,875"
실사출력,2017,-,"300,708","7,601","267,680","40,461",168,"61,463","76,441","170,405"
건물부착 광고물,2018,"89,635","1,172,470","6,772","1,047,455","188,806","32,616","261,028","382,189","625,660"
교통시설 이용 광고물,2018,"239,418","158,809",412,"99,279","117,095","182,265","237,183","45,563","115,893"
교통수단 이용 광고물,2018,"259,545","82,585",3,"85,586","68,983","187,564","250,162","27,940","64,031"
공공시설물 이용 광고물,2018,"69,608","64,090","1,459","99,975","11,612","23,570","41,605","45,215","48,337"
지면 설치 광고물,2018,"45,534","100,094","5,006","98,542","9,418","42,674","61,948","21,447","67,239"
공공장소 광고물,2018,"7,489","96,699",426,"97,916","6,698",-,"28,679","31,376","44,559"
여가시설 광고물,2018,"281,609","120,352","2,114","43,463","82,884","277,728","345,164","45,673","13,238"
쇼핑시설 광고물,2018,"39,635","45,737",98,"34,263","13,907","37,300","54,625","19,567","11,278"
유동 광고물,2018,"10,100","229,647","4,643","217,049","27,341",-,"49,502","52,142","142,746"
실사출력,2018,738,"307,959","4,731","232,889","80,539",-,"97,900","34,411","181,117"
건물부착 광고물,2019,"93,124","1,257,423","7,392","1,198,952","136,100","22,887","299,667","334,995","723,277"
교통시설 이용 광고물,2019,"248,910","162,290",435,"60,459","142,115","209,061","255,693","35,007","120,935"
교통수단 이용 광고물,2019,"260,568","84,309",5,"78,432","73,239","193,211","217,946","56,055","70,881"
공공시설물 이용 광고물,2019,"69,513","64,720","1,503","65,147","7,170","63,419","70,216","13,013","52,507"
지면 설치 광고물,2019,"49,958","105,703","5,176","39,439","79,490","41,908","69,214","22,608","69,015"
공공장소 광고물,2019,"7,939","98,126",379,"84,818","19,623","2,003","11,170","16,012","79,262"
여가시설 광고물,2019,"282,459","123,286","2,185","29,690","101,294","276,946","286,391","9,086","112,453"
쇼핑시설 광고물,2019,"46,211","45,578",98,"34,674","42,565","14,648","62,641","5,470","23,776"
유동 광고물,2019,"8,677","209,338","4,353","214,866","7,502",-,"9,023","53,280","160,065"
실사출력,2019,646,"269,773","4,164","258,496","16,047",40,"14,651","70,371","189,561"
건물부착 광고물,2020,"79,364","1,154,244","6,555","1,068,853","135,848","35,462","202,088","291,956","746,119"
교통시설 이용 광고물,2020,"183,401","142,798",640,"49,487","152,538","124,814","165,263","25,510","136,066"
교통수단 이용 광고물,2020,"193,310","65,546",-,"43,725","61,299","153,832","172,202","43,405","43,249"
공공시설물 이용 광고물,2020,"98,724","47,968","3,164","42,472","18,419","88,965","90,065","4,485","55,306"
지면 설치 광고물,2020,"44,384","102,624","5,081","57,134","70,555","24,400","14,810","36,667","100,612"
공공장소 광고물,2020,"67,881","99,141","5,379","90,943","8,071","73,387","28,035","10,583","133,783"
여가시설 광고물,2020,"92,570","55,496",-,"37,464","24,107","86,495","116,278","7,034","24,754"
쇼핑시설 광고물,2020,"43,211","37,958","3,766","41,589","7,620","35,726","49,414","1,919","33,602"
유동 광고물,2020,"8,934","234,702","6,124","235,174","12,854","1,732","22,128","59,123","168,509"
실사출력,2020,302,"286,651","6,612","241,754","51,810",1,"57,967","77,731","157,867"
건물부착 광고물,2021,"115,378","1,302,764","9,459","915,560","326,705","185,336","294,368","307,752","825,481"
교통시설 이용 광고물,2021,"201,360","155,996",76,"42,888","119,585","194,959","208,052","80,971","68,409"
교통수단 이용 광고물,2021,"236,749","94,977",0,"53,425","64,543","213,758","203,738","78,419","49,569"
공공시설물 이용 광고물,2021,"91,896","98,665","1,589","67,888","31,272","92,990","91,886","31,870","68,394"
지면 설치 광고물,2021,"53,037","87,930","1,099","63,404","49,154","29,508","56,545","29,382","56,139"
공공장소 광고물,2021,"71,081","118,235","1,419","94,454","32,585","63,696","85,795","21,844","83,096"
여가시설 광고물,2021,"95,960","121,569",311,"44,919","61,936","110,985","107,220","38,141","72,479"
쇼핑시설 광고물,2021,"56,125","62,272","2,403","53,213","40,588","26,999","59,430","18,876","42,494"
유동 광고물,2021,"10,608","251,458",585,"143,816","96,628","22,207","22,361","74,518","165,772"
실사출력,2021,530,"321,663","1,401","299,964","21,142","2,488","49,333","75,348","198,913"
건물부착 광고물,2022,"236,221","1,348,695","6,291","967,739","287,903","335,565","562,653","282,959","745,595"
교통시설 이용 광고물,2022,"273,996","147,970",0,"112,405","88,373","221,188","290,459","55,665","75,842"
교통수단 이용 광고물,2022,"314,806","89,476",0,"71,007","47,076","286,199","303,039","60,693","40,550"
공공시설물 이용 광고물,2022,"118,438","92,050","3,933","91,752","15,771","106,898","119,316","21,962","73,143"
지면 설치 광고물,2022,"37,861","92,515",723,"57,892","32,615","40,592","61,163","25,102","44,834"
공공장소 광고물,2022,"117,603","125,420","2,591","114,504","22,368","108,742","140,406","26,339","78,869"
여가시설 광고물,2022,"195,372","90,005","4,411","68,398","38,725","182,665","207,561","26,903","55,324"
쇼핑시설 광고물,2022,"77,173","56,275",428,"55,701","31,691","46,484","83,833","16,807","33,236"
유동 광고물,2022,"13,181","250,446","1,133","211,848","39,051","13,861","48,860","65,293","150,607"
실사출력,2022,780,"322,920","1,910","298,033","27,577",0,"62,961","63,427","199,222"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
