지역,년도,인구밀도
서울,2016,"16,263"
서울,2017,"16,136"
서울,2018,"16,023"
서울,2019,"15,956"
서울,2020,"15,891"
서울,2021,"15,699"
서울,2022,"15,551"
부산,2016,"4,477"
부산,2017,"4,447"
부산,2018,"4,420"
부산,2019,"4,391"
부산,2020,"4,358"
부산,2021,"4,320"
부산,2022,"4,278"
대구,2016,"2,786"
대구,2017,"2,782"
대구,2018,"2,772"
대구,2019,"2,758"
대구,2020,"2,733"
대구,2021,"2,702"
대구,2022,"2,670"
인천,2016,"2,736"
인천,2017,"2,750"
인천,2018,"2,761"
인천,2019,"2,777"
인천,2020,"2,770"
인천,2021,"2,758"
인천,2022,"2,775"
광주,2016,"2,997"
광주,2017,"2,984"
광주,2018,"2,970"
광주,2019,"2,972"
광주,2020,"2,952"
광주,2021,"2,931"
광주,2022,"2,921"
대전,2016,"2,848"
대전,2017,"2,832"
대전,2018,"2,805"
대전,2019,"2,786"
대전,2020,"2,764"
대전,2021,"2,741"
대전,2022,"2,727"
울산,2016,"1,099"
울산,2017,"1,092"
울산,2018,"1,086"
울산,2019,"1,079"
울산,2020,"1,072"
울산,2021,"1,058"
울산,2022,"1,047"
세종,2016,504
세종,2017,571
세종,2018,650
세종,2019,709
세종,2020,749
세종,2021,788
세종,2022,823
경기,2016,"1,237"
경기,2017,"1,255"
경기,2018,"1,279"
경기,2019,"1,299"
경기,2020,"1,319"
경기,2021,"1,335"
경기,2022,"1,341"
강원,2016,90
강원,2017,90
강원,2018,90
강원,2019,90
강원,2020,90
강원,2021,90
강원,2022,91
충북,2016,216
충북,2017,217
충북,2018,218
충북,2019,220
충북,2020,220
충북,2021,220
충북,2022,221
충남,2016,258
충남,2017,262
충남,2018,265
충남,2019,265
충남,2020,264
충남,2021,264
충남,2022,264
전북,2016,227
전북,2017,227
전북,2018,226
전북,2019,225
전북,2020,224
전북,2021,222
전북,2022,221
전남,2016,146
전남,2017,146
전남,2018,146
전남,2019,145
전남,2020,145
전남,2021,144
전남,2022,143
경북,2016,141
경북,2017,141
경북,2018,141
경북,2019,140
경북,2020,139
경북,2021,139
경북,2022,138
경남,2016,317
경남,2017,317
경남,2018,318
경남,2019,318
경남,2020,317
경남,2021,315
경남,2022,312
제주,2016,334
제주,2017,343
제주,2018,354
제주,2019,359
제주,2020,361
제주,2021,364
제주,2022,365
